elapsed,temp_phy0,temp_phy1,tx_mbps,rx_mbps,total_mbps
1.0,69.0,69.0,79.2,15.9,95.0
2.1,73.0,73.0,87.5,29.9,117.5
3.1,73.0,73.0,106.8,34.1,140.9
4.2,75.0,75.0,101.0,38.6,139.5
5.2,75.0,75.0,90.4,32.3,122.6
6.3,77.0,77.0,83.6,30.3,113.9
7.4,77.0,77.0,91.4,26.6,118.0
8.4,77.0,77.0,82.0,24.1,106.1
9.5,77.0,77.0,56.0,26.5,82.4
10.5,75.0,75.0,37.5,36.5,74.0
11.6,75.0,75.0,33.5,44.1,77.7
12.7,75.0,75.0,27.8,48.7,76.5
13.7,77.0,77.0,33.5,49.6,83.1
14.8,75.0,75.0,46.4,59.7,106.1
15.8,77.0,77.0,59.6,78.8,138.4
16.9,77.0,77.0,75.2,107.6,182.9
18.0,77.0,77.0,84.6,139.2,223.8
19.0,79.0,79.0,103.2,149.6,252.8
20.1,79.0,79.0,105.7,147.1,252.8
21.2,79.0,79.0,129.0,148.8,277.8
22.2,79.0,79.0,144.5,151.1,295.6
23.3,79.0,79.0,152.1,147.8,299.9
24.3,81.0,81.0,149.8,145.2,295.0
25.4,83.0,83.0,141.2,149.6,290.8
26.5,83.0,83.0,174.6,183.4,358.0
27.5,83.0,83.0,231.2,213.5,444.8
28.6,83.0,83.0,335.2,267.8,603.0
29.7,83.0,83.0,425.2,280.5,705.6
30.7,83.0,83.0,488.0,291.2,779.2
31.8,83.0,83.0,518.6,285.5,804.1
32.8,83.0,83.0,536.8,305.4,842.2
33.9,86.0,86.0,553.3,320.7,874.0
35.0,83.0,83.0,551.4,287.4,838.8
36.0,86.0,86.0,574.4,248.9,823.3
37.1,88.0,88.0,621.2,202.3,823.5
38.1,86.0,86.0,632.6,182.9,815.4
39.2,86.0,86.0,617.7,155.7,773.5
40.3,86.0,86.0,551.2,138.5,689.8
41.3,88.0,88.0,548.4,134.0,682.4
42.4,88.0,88.0,545.6,135.4,681.1
43.4,90.0,90.0,577.0,130.2,707.2
44.5,90.0,90.0,594.4,136.1,730.5
45.6,90.0,90.0,579.5,145.5,725.0
46.6,90.0,90.0,570.1,147.0,717.1
47.7,92.0,92.0,503.0,124.9,627.9
48.7,92.0,92.0,388.5,91.3,479.8
49.8,92.0,92.0,273.9,84.3,358.1
50.9,90.0,90.0,178.9,76.3,255.2
51.9,90.0,90.0,170.4,90.6,261.0
53.0,88.0,88.0,113.0,70.2,183.3
54.1,86.0,86.0,68.0,47.8,115.8
55.1,83.0,83.0,17.5,15.5,33.0
56.2,81.0,81.0,0.0,0.0,0.0
57.2,79.0,79.0,0.0,0.0,0.0
58.3,77.0,77.0,0.0,0.0,0.0
59.4,77.0,77.0,0.0,0.0,0.0
60.4,77.0,77.0,0.0,0.0,0.0
61.5,77.0,77.0,0.0,0.0,0.0
62.6,75.0,75.0,0.0,0.0,0.0
63.6,77.0,77.0,0.0,0.0,0.0
64.7,75.0,75.0,0.0,0.0,0.0
65.7,75.0,75.0,0.0,0.0,0.0
66.8,75.0,75.0,0.0,0.0,0.0
67.9,75.0,75.0,0.0,0.0,0.0
68.9,75.0,75.0,0.0,0.0,0.0
70.0,73.0,73.0,0.0,0.0,0.0
71.0,73.0,73.0,0.0,0.0,0.0
72.1,75.0,75.0,0.0,0.0,0.0
73.2,73.0,73.0,0.0,0.0,0.0
74.2,73.0,73.0,0.0,0.0,0.0
75.3,73.0,73.0,0.0,0.0,0.0
76.3,73.0,73.0,0.0,0.0,0.0
77.4,73.0,73.0,0.0,0.0,0.0
78.5,71.0,71.0,0.0,0.0,0.0
79.5,73.0,73.0,0.0,0.0,0.0
80.6,71.0,71.0,0.0,0.0,0.0
81.6,71.0,71.0,0.0,0.0,0.0
82.7,71.0,71.0,0.0,0.0,0.0
83.8,71.0,71.0,0.0,0.0,0.0
84.8,71.0,71.0,0.0,0.0,0.0
85.9,71.0,71.0,0.0,0.0,0.0
87.0,71.0,71.0,0.0,0.0,0.0
88.0,71.0,71.0,0.0,0.0,0.0
89.1,71.0,71.0,0.0,0.0,0.0
90.1,71.0,71.0,0.0,0.0,0.0
91.2,71.0,71.0,0.0,0.0,0.0
92.3,71.0,71.0,0.0,0.0,0.0
93.3,71.0,71.0,0.0,0.0,0.0
94.4,71.0,71.0,0.0,0.0,0.0
95.4,71.0,71.0,0.0,0.0,0.0
96.5,71.0,71.0,0.0,0.0,0.0
97.6,71.0,71.0,0.0,0.0,0.0
98.6,71.0,71.0,0.0,0.0,0.0
99.7,69.0,69.0,0.0,0.0,0.0
100.7,69.0,69.0,0.0,0.0,0.0
101.8,71.0,71.0,0.0,0.0,0.0
102.9,71.0,71.0,0.0,0.0,0.0
103.9,71.0,71.0,0.0,0.0,0.0
105.0,69.0,69.0,0.0,0.0,0.0
106.0,69.0,69.0,0.0,0.0,0.0
107.1,69.0,69.0,0.0,0.0,0.0
108.2,69.0,69.0,0.0,0.0,0.0
109.2,69.0,69.0,0.0,0.0,0.0
110.3,69.0,69.0,0.0,0.0,0.0
111.4,69.0,69.0,0.0,0.0,0.0
112.4,69.0,69.0,0.0,0.0,0.0
113.5,69.0,69.0,0.0,0.0,0.0
114.5,69.0,69.0,0.0,0.0,0.0
115.6,69.0,69.0,0.0,0.0,0.0
116.7,69.0,69.0,0.0,0.0,0.0
117.7,69.0,69.0,0.0,0.0,0.0
118.8,69.0,69.0,0.0,0.0,0.0
119.9,69.0,69.0,0.0,0.0,0.0
120.9,69.0,69.0,0.0,0.0,0.0
122.0,69.0,69.0,0.0,0.0,0.0
123.0,69.0,69.0,0.0,0.0,0.0
124.1,69.0,69.0,0.0,0.0,0.0
125.2,69.0,69.0,0.0,0.0,0.0
126.2,69.0,69.0,0.0,0.0,0.0
127.3,69.0,69.0,0.0,0.0,0.0
128.3,69.0,69.0,0.0,0.0,0.0
129.4,69.0,69.0,0.0,0.0,0.0
130.5,69.0,69.0,0.0,0.0,0.0
131.5,69.0,69.0,0.0,0.0,0.0
132.6,69.0,69.0,0.0,0.0,0.0
133.6,69.0,69.0,0.0,0.0,0.0
134.7,69.0,69.0,0.0,0.0,0.0
135.8,69.0,69.0,0.0,0.0,0.0
136.8,69.0,69.0,0.0,0.0,0.0
137.9,69.0,69.0,0.0,0.0,0.0
138.9,69.0,69.0,0.0,0.0,0.0
140.0,69.0,69.0,0.0,0.0,0.0
141.1,69.0,69.0,0.0,0.0,0.0
142.1,69.0,69.0,0.0,0.0,0.0
143.2,69.0,69.0,0.0,0.0,0.0
144.2,69.0,69.0,0.0,0.0,0.0
145.3,69.0,69.0,0.0,0.0,0.0
146.4,69.0,69.0,0.0,0.0,0.0
147.4,69.0,69.0,0.0,0.0,0.0
148.5,69.0,69.0,0.0,0.0,0.0
149.5,69.0,69.0,0.0,0.0,0.0
150.6,69.0,69.0,0.0,0.0,0.0
151.7,69.0,69.0,0.0,0.0,0.0
152.7,69.0,69.0,0.0,0.0,0.0
153.8,69.0,69.0,0.0,0.0,0.0
154.8,69.0,69.0,0.0,0.0,0.0
155.9,69.0,69.0,0.0,0.0,0.0
157.0,69.0,69.0,0.0,0.0,0.0
158.0,69.0,69.0,0.0,0.0,0.0
159.1,69.0,69.0,0.0,0.0,0.0
160.1,69.0,69.0,0.0,0.0,0.0
161.2,69.0,69.0,0.0,0.0,0.0
162.3,69.0,69.0,0.0,0.0,0.0
163.3,69.0,69.0,0.0,0.0,0.0
164.4,69.0,69.0,0.0,0.0,0.0
165.4,69.0,69.0,0.0,0.0,0.0
166.5,69.0,69.0,0.0,0.0,0.0
167.6,69.0,69.0,0.0,0.0,0.0
168.6,69.0,69.0,0.0,0.0,0.0
169.7,69.0,69.0,0.0,0.0,0.0
170.8,69.0,69.0,0.0,0.0,0.0
171.8,69.0,69.0,0.0,0.0,0.0
172.9,69.0,69.0,0.0,0.0,0.0
173.9,67.0,67.0,0.0,0.0,0.0
175.0,69.0,69.0,0.0,0.0,0.0
176.1,69.0,69.0,0.0,0.0,0.0
177.1,67.0,67.0,0.0,0.0,0.0
178.2,69.0,69.0,0.0,0.0,0.0
179.2,69.0,69.0,0.0,0.0,0.0
180.3,69.0,69.0,0.0,0.0,0.0
181.4,69.0,69.0,0.0,0.0,0.0
182.4,69.0,69.0,0.0,0.0,0.0
183.5,69.0,69.0,0.0,0.0,0.0
184.5,69.0,69.0,0.0,0.0,0.0
185.6,69.0,69.0,0.0,0.0,0.0
186.7,69.0,69.0,0.0,0.0,0.0
187.7,69.0,69.0,0.0,0.0,0.0
188.8,69.0,69.0,0.0,0.0,0.0
189.9,69.0,69.0,0.0,0.0,0.0
190.9,69.0,69.0,0.0,0.0,0.0
192.0,69.0,69.0,0.0,0.0,0.0
193.0,69.0,69.0,0.0,0.0,0.0
194.1,69.0,69.0,0.0,0.0,0.0
195.2,69.0,69.0,0.0,0.0,0.0
196.2,69.0,69.0,0.0,0.0,0.0
197.3,69.0,69.0,0.0,0.0,0.0
198.4,69.0,69.0,0.0,0.0,0.0
199.4,69.0,69.0,0.0,0.0,0.0
200.5,69.0,69.0,0.0,0.0,0.0
201.5,69.0,69.0,0.0,0.0,0.0
202.6,69.0,69.0,0.0,0.0,0.0
203.7,69.0,69.0,0.0,0.0,0.0
204.7,69.0,69.0,0.0,0.0,0.0
205.8,69.0,69.0,0.0,0.0,0.0
206.8,67.0,67.0,0.0,0.0,0.0
