elapsed,temp_phy0,temp_phy1
1.0,73.0,73.0
2.1,77.0,77.0
3.1,79.0,79.0
4.2,81.0,81.0
5.3,83.0,83.0
6.3,86.0,86.0
7.4,86.0,86.0
8.5,86.0,86.0
9.5,86.0,86.0
10.6,88.0,88.0
11.7,88.0,88.0
12.7,88.0,88.0
13.8,90.0,90.0
14.9,90.0,90.0
15.9,90.0,90.0
17.0,92.0,92.0
18.1,92.0,92.0
19.1,92.0,92.0
20.2,92.0,92.0
21.2,92.0,92.0
22.3,94.0,94.0
23.4,94.0,94.0
24.5,94.0,94.0
25.5,94.0,94.0
26.6,94.0,94.0
27.7,94.0,94.0
28.7,96.0,96.0
29.8,96.0,96.0
30.8,96.0,96.0
31.9,96.0,96.0
33.0,96.0,96.0
34.0,96.0,96.0
35.1,96.0,96.0
36.2,96.0,96.0
37.2,98.0,98.0
38.3,96.0,96.0
39.4,98.0,98.0
40.4,98.0,98.0
41.5,98.0,98.0
42.6,98.0,98.0
43.6,98.0,98.0
44.7,98.0,98.0
45.8,100.0,100.0
46.8,98.0,98.0
47.9,100.0,100.0
48.9,100.0,100.0
50.0,100.0,100.0
51.1,100.0,100.0
52.1,100.0,100.0
53.2,100.0,100.0
54.3,100.0,100.0
55.3,100.0,100.0
56.4,100.0,100.0
57.5,98.0,98.0
58.5,100.0,100.0
59.6,100.0,100.0
60.6,98.0,98.0
61.7,100.0,100.0
62.8,100.0,100.0
63.8,100.0,100.0
64.9,98.0,98.0
66.0,100.0,100.0
67.0,100.0,100.0
68.1,100.0,100.0
69.1,100.0,100.0
70.2,100.0,100.0
71.3,100.0,100.0
72.3,100.0,100.0
73.4,100.0,100.0
74.5,100.0,100.0
75.5,100.0,100.0
76.6,100.0,100.0
77.6,100.0,100.0
78.7,100.0,100.0
79.8,100.0,100.0
80.8,100.0,100.0
81.9,100.0,100.0
82.9,98.0,98.0
84.0,98.0,98.0
85.1,100.0,100.0
86.1,100.0,100.0
87.2,100.0,100.0
88.3,100.0,100.0
89.3,100.0,100.0
90.4,100.0,100.0
91.4,100.0,100.0
92.5,100.0,100.0
93.6,100.0,100.0
94.6,100.0,100.0
95.7,100.0,100.0
96.8,100.0,100.0
97.8,100.0,100.0
98.9,100.0,100.0
99.9,100.0,100.0
101.0,100.0,100.0
102.1,100.0,100.0
103.1,98.0,98.0
104.2,98.0,98.0
105.3,100.0,100.0
106.3,100.0,100.0
107.4,96.0,96.0
108.4,98.0,98.0
109.5,98.0,98.0
110.6,100.0,100.0
111.6,100.0,100.0
112.7,98.0,98.0
113.8,100.0,100.0
114.8,98.0,98.0
115.9,98.0,98.0
117.0,98.0,98.0
118.0,98.0,98.0
119.1,96.0,96.0
120.1,98.0,98.0
121.2,98.0,98.0
122.3,96.0,96.0
123.3,96.0,96.0
124.4,96.0,96.0
125.4,96.0,96.0
126.5,96.0,96.0
127.6,96.0,96.0
128.6,96.0,96.0
129.7,96.0,96.0
130.7,96.0,96.0
131.8,96.0,96.0
132.9,96.0,96.0
133.9,96.0,96.0
135.0,96.0,96.0
136.1,98.0,98.0
137.1,98.0,98.0
138.2,96.0,96.0
139.2,96.0,96.0
140.3,96.0,96.0
141.4,98.0,98.0
142.4,96.0,96.0
143.5,98.0,98.0
144.5,96.0,96.0
145.6,98.0,98.0
146.7,98.0,98.0
147.7,96.0,96.0
148.8,96.0,96.0
149.9,96.0,96.0
150.9,98.0,98.0
152.0,98.0,98.0
153.0,98.0,98.0
154.1,98.0,98.0
155.2,100.0,100.0
156.2,98.0,98.0
157.3,100.0,100.0
158.3,98.0,98.0
159.4,98.0,98.0
160.5,98.0,98.0
161.5,98.0,98.0
162.6,98.0,98.0
163.7,98.0,98.0
164.7,98.0,98.0
165.8,98.0,98.0
166.9,98.0,98.0
167.9,98.0,98.0
169.0,96.0,96.0
170.0,96.0,96.0
171.1,98.0,98.0
172.2,100.0,100.0
173.2,98.0,98.0
174.3,100.0,100.0
175.3,100.0,100.0
176.4,100.0,100.0
177.5,100.0,100.0
178.5,100.0,100.0
179.6,100.0,100.0
180.6,98.0,98.0
181.7,98.0,98.0
182.8,100.0,100.0
183.8,100.0,100.0
184.9,100.0,100.0
185.9,100.0,100.0
187.0,98.0,98.0
188.1,96.0,96.0
189.1,96.0,96.0
190.2,94.0,94.0
191.3,96.0,96.0
192.3,96.0,96.0
193.4,96.0,96.0
194.5,96.0,96.0
195.5,96.0,96.0
196.6,96.0,96.0
197.7,98.0,98.0
198.7,96.0,96.0
199.8,98.0,98.0
200.8,96.0,96.0
201.9,96.0,96.0
203.0,96.0,96.0
204.0,96.0,96.0
205.1,96.0,96.0
206.1,98.0,98.0
207.2,96.0,96.0
208.3,96.0,96.0
209.3,96.0,96.0
210.4,96.0,96.0
211.4,94.0,94.0
212.5,96.0,96.0
213.6,96.0,96.0
214.6,96.0,96.0
215.7,96.0,96.0
216.7,96.0,96.0
217.8,98.0,98.0
218.9,96.0,96.0
219.9,96.0,96.0
221.0,98.0,98.0
222.1,98.0,98.0
223.1,98.0,98.0
224.2,100.0,100.0
225.2,100.0,100.0
226.3,100.0,100.0
227.4,98.0,98.0
228.4,98.0,98.0
229.5,98.0,98.0
230.5,100.0,100.0
231.6,100.0,100.0
232.7,98.0,98.0
233.7,98.0,98.0
234.8,98.0,98.0
235.8,98.0,98.0
236.9,98.0,98.0
238.0,98.0,98.0
239.0,98.0,98.0
240.1,100.0,100.0
241.1,100.0,100.0
242.2,100.0,100.0
243.3,102.0,102.0
244.3,102.0,102.0
245.4,102.0,102.0
246.5,102.0,102.0
247.5,102.0,102.0
248.6,102.0,102.0
249.6,104.0,104.0
250.7,104.0,104.0
251.8,102.0,102.0
252.8,104.0,104.0
253.9,104.0,104.0
254.9,104.0,104.0
256.0,104.0,104.0
257.1,107.0,107.0
258.1,104.0,104.0
259.2,104.0,104.0
260.2,104.0,104.0
261.3,107.0,107.0
262.4,107.0,107.0
263.4,107.0,107.0
264.5,107.0,107.0
265.5,107.0,107.0
266.6,107.0,107.0
267.7,107.0,107.0
268.7,107.0,107.0
269.8,107.0,107.0
270.8,107.0,107.0
271.9,109.0,109.0
273.0,109.0,109.0
274.0,109.0,109.0
275.1,109.0,109.0
276.1,109.0,109.0
277.2,109.0,109.0
278.3,109.0,109.0
279.3,109.0,109.0
280.4,109.0,109.0
281.4,109.0,109.0
282.5,111.0,111.0
283.6,109.0,109.0
284.6,111.0,111.0
285.7,111.0,111.0
286.8,111.0,111.0
287.8,111.0,111.0
288.9,111.0,111.0
290.0,111.0,111.0
291.0,111.0,111.0
292.1,111.0,111.0
293.2,111.0,111.0
294.2,111.0,111.0
295.3,111.0,111.0
296.3,111.0,111.0
297.4,111.0,111.0
298.5,111.0,111.0
299.5,111.0,111.0
300.6,111.0,111.0
301.6,111.0,111.0
302.7,111.0,111.0
303.8,111.0,111.0
304.8,111.0,111.0
305.9,111.0,111.0
307.0,113.0,113.0
308.0,111.0,111.0
309.1,111.0,111.0
310.2,111.0,111.0
311.2,111.0,111.0
312.3,111.0,111.0
313.3,111.0,111.0
314.4,111.0,111.0
315.5,111.0,111.0
316.5,109.0,109.0
317.6,109.0,109.0
